eventid, userid, eventtime, type, diffgold, diffpower, difflevel
87,620,2022-12-16 12:05:12,1,-2195,67995,0
88,998,2022-12-16 12:05:44,3,0,0,2
89,46,2022-12-16 12:06:18,2,9484,0,0
90,787,2022-12-16 12:06:28,3,0,0,2
91,130,2022-12-16 12:07:02,2,50471,0,0
92,664,2022-12-16 12:07:32,3,0,0,2
93,85,2022-12-16 12:08:16,2,98102,0,0
94,481,2022-12-16 12:09:00,1,-66049,43637,0
95,38,2022-12-16 12:09:26,2,59703,0,0
96,200,2022-12-16 12:09:41,1,-46573,63188,0
97,43,2022-12-16 12:10:18,1,-45632,57538,0
98,147,2022-12-16 12:10:22,3,0,0,2
99,668,2022-12-16 12:11:07,1,-63285,90428,0
100,519,2022-12-16 12:11:47,2,81977,0,0
101,485,2022-12-16 12:11:59,1,-60768,51468,0
102,10,2022-12-16 12:12:23,1,-28867,43149,0
103,996,2022-12-16 12:13:05,1,-85961,67209,0
104,305,2022-12-16 12:13:14,1,-81586,12027,0
105,393,2022-12-16 12:13:33,1,-36136,64178,0
106,210,2022-12-16 12:13:44,2,75797,0,0
107,780,2022-12-16 12:14:18,3,0,0,2
108,412,2022-12-16 12:14:49,3,0,0,2
109,4,2022-12-16 12:15:17,3,0,0,2
110,800,2022-12-16 12:15:42,1,-79618,58127,0
111,568,2022-12-16 12:16:02,3,0,0,2
112,385,2022-12-16 12:16:32,1,-16145,95898,0
113,158,2022-12-16 12:16:55,3,0,0,2
114,551,2022-12-16 12:17:35,3,0,0,1
115,602,2022-12-16 12:17:40,3,0,0,1
116,106,2022-12-16 12:17:52,2,66263,0,0
117,485,2022-12-16 12:18:27,2,76296,0,0
118,823,2022-12-16 12:18:36,1,-35362,84576,0
119,578,2022-12-16 12:18:58,3,0,0,2
120,23,2022-12-16 12:19:19,2,42450,0,0
121,172,2022-12-16 12:19:24,3,0,0,2
122,106,2022-12-16 12:19:29,3,0,0,2
123,17,2022-12-16 12:19:32,3,0,0,2
124,753,2022-12-16 12:19:37,1,-29139,35977,0
125,761,2022-12-16 12:20:12,2,19624,0,0
126,116,2022-12-16 12:20:29,3,0,0,2
127,751,2022-12-16 12:20:50,1,-18723,72566,0
128,183,2022-12-16 12:21:19,1,-88442,70961,0
129,389,2022-12-16 12:21:35,3,0,0,1
130,238,2022-12-16 12:21:50,2,2935,0,0
131,733,2022-12-16 12:22:07,1,-54642,75782,0
132,135,2022-12-16 12:22:34,2,95456,0,0
133,632,2022-12-16 12:23:14,2,9481,0,0
134,758,2022-12-16 12:23:17,2,48394,0,0
135,676,2022-12-16 12:23:52,1,-89086,85070,0
136,265,2022-12-16 12:23:59,2,45201,0,0
137,950,2022-12-16 12:24:42,3,0,0,2
138,444,2022-12-16 12:24:49,2,49578,0,0
139,130,2022-12-16 12:25:18,2,94689,0,0
140,846,2022-12-16 12:25:29,1,-38373,54317,0
141,699,2022-12-16 12:25:36,1,-66080,84945,0
142,950,2022-12-16 12:25:57,3,0,0,1
143,54,2022-12-16 12:26:15,2,96267,0,0
144,190,2022-12-16 12:27:04,2,32607,0,0
145,433,2022-12-16 12:27:05,3,0,0,2
146,159,2022-12-16 12:27:26,1,-82454,10589,0
147,372,2022-12-16 12:28:11,1,-8735,36058,0
148,877,2022-12-16 12:28:15,2,1861,0,0
149,230,2022-12-16 12:28:22,3,0,0,1
150,837,2022-12-16 12:28:41,1,-51628,83206,0
151,406,2022-12-16 12:29:10,3,0,0,1
152,258,2022-12-16 12:29:22,2,48661,0,0
153,991,2022-12-16 12:29:59,1,-9436,27295,0
154,665,2022-12-16 12:30:31,2,91924,0,0
155,898,2022-12-16 12:31:01,3,0,0,1
156,349,2022-12-16 12:31:46,2,93530,0,0
157,704,2022-12-16 12:32:21,2,79337,0,0
158,621,2022-12-16 12:32:25,1,-42210,85642,0
159,797,2022-12-16 12:32:46,1,-24484,17474,0
160,500,2022-12-16 12:32:52,1,-88885,3585,0
161,720,2022-12-16 12:33:19,2,72676,0,0
162,399,2022-12-16 12:33:54,1,-97332,85574,0
163,706,2022-12-16 12:34:26,2,84029,0,0
164,537,2022-12-16 12:35:05,3,0,0,1
165,929,2022-12-16 12:35:44,1,-26275,15705,0
166,626,2022-12-16 12:35:59,1,-27146,39164,0
167,199,2022-12-16 12:36:16,1,-43100,53265,0
168,254,2022-12-16 12:36:23,3,0,0,2
169,616,2022-12-16 12:36:25,3,0,0,2
170,461,2022-12-16 12:36:46,3,0,0,2
171,552,2022-12-16 12:37:03,3,0,0,1
172,333,2022-12-16 12:37:23,3,0,0,1
173,173,2022-12-16 12:37:50,3,0,0,2
174,653,2022-12-16 12:38:37,2,37951,0,0
175,517,2022-12-16 12:38:38,3,0,0,2
176,246,2022-12-16 12:39:25,2,74379,0,0
177,69,2022-12-16 12:39:55,1,-80677,42771,0
178,946,2022-12-16 12:40:09,1,-57817,31284,0
179,31,2022-12-16 12:40:27,2,31997,0,0
180,391,2022-12-16 12:41:08,3,0,0,1
181,227,2022-12-16 12:41:23,1,-96719,80495,0
182,678,2022-12-16 12:41:31,3,0,0,2
183,315,2022-12-16 12:41:47,2,81709,0,0
184,787,2022-12-16 12:42:32,3,0,0,2
185,846,2022-12-16 12:43:11,3,0,0,1
186,631,2022-12-16 12:43:14,2,24509,0,0
187,890,2022-12-16 12:43:47,1,-60026,30049,0
188,806,2022-12-16 12:44:10,2,7867,0,0
189,12,2022-12-16 12:44:29,1,-82362,1031,0
190,691,2022-12-16 12:44:41,1,-64893,24014,0
191,874,2022-12-16 12:45:11,2,9195,0,0
192,870,2022-12-16 12:45:12,2,90479,0,0
193,910,2022-12-16 12:45:39,1,-15880,95330,0
194,132,2022-12-16 12:46:06,3,0,0,2
195,118,2022-12-16 12:46:35,3,0,0,1
196,609,2022-12-16 12:46:44,1,-59159,59539,0
197,614,2022-12-16 12:47:31,2,21011,0,0
198,849,2022-12-16 12:47:54,1,-82637,30919,0
199,362,2022-12-16 12:48:17,2,77072,0,0
200,550,2022-12-16 12:48:24,2,39008,0,0
201,95,2022-12-16 12:48:57,2,49680,0,0
202,443,2022-12-16 12:49:19,3,0,0,1
203,881,2022-12-16 12:49:38,2,22473,0,0
204,843,2022-12-16 12:50:09,3,0,0,1
205,476,2022-12-16 12:50:18,2,35573,0,0
206,858,2022-12-16 12:50:59,3,0,0,2
207,456,2022-12-16 12:51:17,2,66510,0,0
208,915,2022-12-16 12:51:21,3,0,0,2
209,495,2022-12-16 12:51:53,2,31283,0,0
210,85,2022-12-16 12:52:11,2,57587,0,0
211,187,2022-12-16 12:52:49,1,-23966,18521,0
212,203,2022-12-16 12:53:09,1,-7525,37181,0
213,646,2022-12-16 12:53:46,2,23625,0,0
214,947,2022-12-16 12:54:33,2,80878,0,0
215,474,2022-12-16 12:54:48,2,92216,0,0
216,523,2022-12-16 12:55:38,1,-83309,31231,0
217,65,2022-12-16 12:55:54,1,-17248,18041,0
218,180,2022-12-16 12:56:38,1,-90556,87677,0
219,620,2022-12-16 12:56:52,1,-30891,93927,0
220,701,2022-12-16 12:57:08,2,78917,0,0
221,929,2022-12-16 12:57:49,1,-70368,46972,0
222,801,2022-12-16 12:58:27,1,-52543,43869,0
223,800,2022-12-16 12:58:44,3,0,0,1
224,831,2022-12-16 12:58:58,2,83928,0,0
225,208,2022-12-16 12:59:39,2,91122,0,0
226,133,2022-12-16 12:59:42,3,0,0,1
227,822,2022-12-16 13:00:13,3,0,0,1
228,290,2022-12-16 13:00:25,3,0,0,1
229,25,2022-12-16 13:00:54,1,-18173,47105,0
230,934,2022-12-16 13:00:57,1,-34584,51820,0
231,42,2022-12-16 13:01:00,1,-98636,83018,0
232,272,2022-12-16 13:01:05,3,0,0,1
233,872,2022-12-16 13:01:22,3,0,0,2
234,460,2022-12-16 13:02:09,1,-25947,19393,0
235,377,2022-12-16 13:02:27,3,0,0,2
236,971,2022-12-16 13:02:44,3,0,0,2
237,91,2022-12-16 13:03:07,2,26340,0,0
238,193,2022-12-16 13:03:15,3,0,0,1
239,835,2022-12-16 13:03:35,3,0,0,2
240,353,2022-12-16 13:03:58,3,0,0,2
241,920,2022-12-16 13:04:35,3,0,0,1
242,586,2022-12-16 13:04:48,2,40549,0,0
243,847,2022-12-16 13:05:16,1,-7026,17849,0
244,914,2022-12-16 13:05:22,2,7456,0,0
245,319,2022-12-16 13:05:28,1,-15991,39871,0
246,897,2022-12-16 13:05:40,1,-83488,7959,0
247,354,2022-12-16 13:06:29,2,5655,0,0
248,711,2022-12-16 13:06:45,2,45782,0,0
249,198,2022-12-16 13:07:09,1,-96467,69449,0
250,487,2022-12-16 13:07:58,3,0,0,1
251,577,2022-12-16 13:08:27,2,76148,0,0
252,31,2022-12-16 13:08:47,3,0,0,1
253,345,2022-12-16 13:08:54,3,0,0,2
254,800,2022-12-16 13:09:29,2,75252,0,0
255,246,2022-12-16 13:10:19,2,70761,0,0
256,705,2022-12-16 13:10:37,2,51857,0,0
257,557,2022-12-16 13:11:04,2,27705,0,0
258,69,2022-12-16 13:11:31,2,82857,0,0
259,542,2022-12-16 13:12:04,1,-20075,12754,0
260,182,2022-12-16 13:12:26,1,-88367,9989,0
261,976,2022-12-16 13:13:07,1,-35693,8934,0
262,242,2022-12-16 13:13:15,2,19201,0,0
263,374,2022-12-16 13:13:27,2,29114,0,0
264,97,2022-12-16 13:13:54,3,0,0,1
265,975,2022-12-16 13:13:59,1,-29512,66648,0
266,940,2022-12-16 13:14:05,2,53783,0,0
267,409,2022-12-16 13:14:08,2,3568,0,0
268,457,2022-12-16 13:14:22,3,0,0,1
269,823,2022-12-16 13:15:08,2,59436,0,0
270,182,2022-12-16 13:15:54,2,10256,0,0
271,64,2022-12-16 13:16:33,2,68245,0,0
272,192,2022-12-16 13:17:02,2,64826,0,0
273,206,2022-12-16 13:17:10,1,-30425,4325,0
274,681,2022-12-16 13:17:14,2,91852,0,0
275,794,2022-12-16 13:17:42,1,-78195,65662,0
276,440,2022-12-16 13:18:18,1,-90415,83867,0
277,729,2022-12-16 13:18:49,3,0,0,2
278,702,2022-12-16 13:19:03,2,30124,0,0
279,350,2022-12-16 13:19:43,1,-60276,86957,0
280,335,2022-12-16 13:20:04,1,-13589,86215,0
281,840,2022-12-16 13:20:36,2,33760,0,0
282,961,2022-12-16 13:21:10,3,0,0,1
283,881,2022-12-16 13:21:40,1,-56082,70262,0
284,441,2022-12-16 13:21:50,1,-8673,88856,0
285,920,2022-12-16 13:22:02,2,7993,0,0
286,117,2022-12-16 13:22:19,1,-77384,64726,0
287,831,2022-12-16 13:22:22,2,92115,0,0
288,842,2022-12-16 13:22:47,2,25364,0,0
289,888,2022-12-16 13:22:58,1,-79188,19485,0
290,193,2022-12-16 13:23:34,1,-58703,53792,0
291,929,2022-12-16 13:23:44,1,-69975,92652,0
292,245,2022-12-16 13:23:59,1,-53463,74199,0
293,600,2022-12-16 13:24:28,2,7271,0,0
294,778,2022-12-16 13:25:00,3,0,0,2
295,555,2022-12-16 13:25:35,1,-43189,71157,0
296,445,2022-12-16 13:26:17,3,0,0,2
297,12,2022-12-16 13:26:34,1,-18154,40228,0
298,607,2022-12-16 13:26:36,1,-23856,96400,0
299,536,2022-12-16 13:26:54,3,0,0,1
300,725,2022-12-16 13:27:24,3,0,0,1
301,512,2022-12-16 13:27:27,3,0,0,1
302,774,2022-12-16 13:27:59,2,60117,0,0
303,628,2022-12-16 13:28:45,3,0,0,1
304,605,2022-12-16 13:28:50,2,3504,0,0
305,472,2022-12-16 13:29:06,1,-52059,49191,0
306,566,2022-12-16 13:29:14,2,48564,0,0
307,480,2022-12-16 13:29:24,3,0,0,2
308,6,2022-12-16 13:30:06,3,0,0,2
309,398,2022-12-16 13:30:21,3,0,0,1
310,593,2022-12-16 13:31:06,3,0,0,2
311,937,2022-12-16 13:31:44,1,-73421,11958,0
312,511,2022-12-16 13:31:58,3,0,0,2
313,614,2022-12-16 13:32:33,2,48492,0,0
314,158,2022-12-16 13:32:58,2,54627,0,0
315,296,2022-12-16 13:33:23,1,-92594,7018,0
316,319,2022-12-16 13:34:08,2,85151,0,0
317,223,2022-12-16 13:34:22,1,-48157,94216,0
318,650,2022-12-16 13:34:58,2,37463,0,0
319,687,2022-12-16 13:35:15,2,11818,0,0
320,205,2022-12-16 13:35:20,2,65416,0,0
321,936,2022-12-16 13:35:37,3,0,0,1
322,380,2022-12-16 13:35:50,2,55419,0,0
323,27,2022-12-16 13:36:17,1,-73683,41153,0
324,564,2022-12-16 13:36:37,2,44177,0,0
325,362,2022-12-16 13:37:04,2,9953,0,0
326,849,2022-12-16 13:37:38,1,-75730,45767,0
327,561,2022-12-16 13:38:06,3,0,0,1
328,952,2022-12-16 13:38:29,2,19627,0,0
329,782,2022-12-16 13:39:06,2,96320,0,0
330,518,2022-12-16 13:39:18,1,-19805,95969,0
331,174,2022-12-16 13:39:24,3,0,0,1
332,958,2022-12-16 13:40:08,3,0,0,2
333,613,2022-12-16 13:40:14,1,-65385,63107,0
334,875,2022-12-16 13:40:55,3,0,0,2
335,694,2022-12-16 13:41:11,1,-726,63760,0
336,395,2022-12-16 13:41:47,1,-72645,7893,0
337,475,2022-12-16 13:42:16,1,-64670,32311,0
338,191,2022-12-16 13:42:43,2,84356,0,0
339,726,2022-12-16 13:43:09,1,-76886,94259,0
340,189,2022-12-16 13:43:53,1,-18693,64927,0
341,292,2022-12-16 13:44:21,2,80687,0,0
342,698,2022-12-16 13:44:36,3,0,0,2
343,982,2022-12-16 13:44:48,1,-56516,7359,0
344,418,2022-12-16 13:45:03,2,75081,0,0
345,100,2022-12-16 13:45:17,3,0,0,2
346,344,2022-12-16 13:45:49,1,-56611,75677,0
347,171,2022-12-16 13:46:17,1,-85235,93948,0
348,722,2022-12-16 13:46:58,3,0,0,2
349,755,2022-12-16 13:47:30,3,0,0,2
350,588,2022-12-16 13:47:37,2,77633,0,0
351,316,2022-12-16 13:47:39,2,35587,0,0
352,385,2022-12-16 13:48:11,3,0,0,2
353,12,2022-12-16 13:48:39,2,99692,0,0
354,235,2022-12-16 13:49:17,1,-83572,77565,0
355,787,2022-12-16 13:49:22,1,-94623,49437,0
356,690,2022-12-16 13:49:53,1,-37125,52436,0
357,224,2022-12-16 13:50:41,1,-49865,9156,0
358,447,2022-12-16 13:50:42,2,88096,0,0
359,301,2022-12-16 13:50:51,1,-88752,91168,0
360,57,2022-12-16 13:51:02,1,-47149,10671,0
361,258,2022-12-16 13:51:05,3,0,0,1
362,678,2022-12-16 13:51:08,1,-47631,14265,0
363,116,2022-12-16 13:51:26,1,-58224,4295,0
364,543,2022-12-16 13:51:30,1,-84990,31571,0
365,730,2022-12-16 13:51:41,3,0,0,2
366,115,2022-12-16 13:52:25,2,30295,0,0
367,136,2022-12-16 13:53:14,3,0,0,2
368,450,2022-12-16 13:53:46,3,0,0,1
369,684,2022-12-16 13:54:27,1,-66115,64836,0
370,689,2022-12-16 13:54:40,2,14091,0,0
371,404,2022-12-16 13:55:09,2,36749,0,0
372,193,2022-12-16 13:55:56,2,69464,0,0
373,608,2022-12-16 13:56:11,3,0,0,1
374,133,2022-12-16 13:56:18,3,0,0,2
375,212,2022-12-16 13:56:29,2,35460,0,0
376,466,2022-12-16 13:57:05,1,-21363,56861,0
377,752,2022-12-16 13:57:48,1,-91890,55699,0
378,378,2022-12-16 13:58:19,2,27929,0,0
379,225,2022-12-16 13:59:09,2,63516,0,0
380,772,2022-12-16 13:59:34,2,69029,0,0
381,608,2022-12-16 14:00:04,2,70040,0,0
382,647,2022-12-16 14:00:30,3,0,0,1
383,52,2022-12-16 14:01:05,1,-38620,25023,0
384,139,2022-12-16 14:01:39,1,-43698,50155,0
385,120,2022-12-16 14:01:46,2,63615,0,0
386,578,2022-12-16 14:02:26,3,0,0,2
387,126,2022-12-16 14:02:46,3,0,0,1
388,899,2022-12-16 14:03:15,2,40170,0,0
389,368,2022-12-16 14:04:01,1,-99037,24911,0
390,866,2022-12-16 14:04:25,2,23083,0,0
391,585,2022-12-16 14:04:45,1,-52540,4672,0
392,122,2022-12-16 14:05:22,3,0,0,1
393,803,2022-12-16 14:06:08,1,-4035,42475,0
394,106,2022-12-16 14:06:37,2,54332,0,0
395,536,2022-12-16 14:07:04,1,-19625,86156,0
396,98,2022-12-16 14:07:11,1,-99576,97372,0
397,864,2022-12-16 14:07:50,3,0,0,2
398,92,2022-12-16 14:08:09,2,17462,0,0
399,908,2022-12-16 14:08:24,2,32612,0,0
400,148,2022-12-16 14:09:00,1,-79069,62949,0
401,690,2022-12-16 14:09:02,3,0,0,1
402,640,2022-12-16 14:09:41,3,0,0,1
403,869,2022-12-16 14:10:17,2,52851,0,0
404,337,2022-12-16 14:10:39,1,-7787,82447,0
405,203,2022-12-16 14:11:12,2,31500,0,0
406,245,2022-12-16 14:11:33,2,27280,0,0
407,8,2022-12-16 14:12:04,2,29656,0,0
408,247,2022-12-16 14:12:39,3,0,0,1
409,101,2022-12-16 14:13:23,2,65660,0,0
410,368,2022-12-16 14:13:57,1,-19039,88037,0
411,924,2022-12-16 14:14:04,1,-78479,62229,0
412,121,2022-12-16 14:14:33,1,-18809,90940,0
413,525,2022-12-16 14:15:09,3,0,0,2
414,529,2022-12-16 14:15:50,2,15620,0,0
415,338,2022-12-16 14:15:59,2,9657,0,0
416,815,2022-12-16 14:16:37,3,0,0,2
417,424,2022-12-16 14:16:50,1,-44577,64494,0
418,458,2022-12-16 14:16:58,2,61754,0,0
419,594,2022-12-16 14:17:33,2,7403,0,0
420,424,2022-12-16 14:18:15,1,-68236,92347,0
421,709,2022-12-16 14:18:34,1,-87866,72489,0
422,360,2022-12-16 14:19:06,1,-39374,81237,0
423,785,2022-12-16 14:19:41,3,0,0,2
424,54,2022-12-16 14:20:13,1,-12755,28566,0
425,889,2022-12-16 14:20:47,1,-51119,36491,0
426,667,2022-12-16 14:20:55,2,80220,0,0
427,992,2022-12-16 14:21:38,1,-3281,14368,0
428,271,2022-12-16 14:21:41,2,54957,0,0
429,336,2022-12-16 14:21:57,3,0,0,2
430,408,2022-12-16 14:22:30,3,0,0,1
431,474,2022-12-16 14:22:51,3,0,0,1
432,766,2022-12-16 14:23:12,3,0,0,2
433,970,2022-12-16 14:23:33,2,10904,0,0
434,957,2022-12-16 14:23:43,2,77621,0,0
435,321,2022-12-16 14:24:08,2,82800,0,0
436,754,2022-12-16 14:24:33,3,0,0,2
437,999,2022-12-16 14:25:01,2,30329,0,0
438,220,2022-12-16 14:25:30,1,-16243,52276,0
439,334,2022-12-16 14:26:01,3,0,0,2
440,342,2022-12-16 14:26:49,1,-89252,32739,0
441,455,2022-12-16 14:26:57,3,0,0,1
442,355,2022-12-16 14:27:18,2,34043,0,0
443,247,2022-12-16 14:28:00,1,-17965,99262,0
444,473,2022-12-16 14:28:13,2,18399,0,0
445,967,2022-12-16 14:28:33,3,0,0,1
446,471,2022-12-16 14:28:52,1,-77247,75248,0
447,572,2022-12-16 14:29:30,2,80667,0,0
448,246,2022-12-16 14:30:13,3,0,0,2
449,385,2022-12-16 14:30:23,1,-75437,1810,0
450,252,2022-12-16 14:30:33,1,-15341,4110,0
451,812,2022-12-16 14:30:50,1,-70572,40813,0
452,161,2022-12-16 14:31:18,1,-48902,38512,0
453,8,2022-12-16 14:32:05,3,0,0,1
454,653,2022-12-16 14:32:21,3,0,0,2
455,570,2022-12-16 14:32:57,3,0,0,1
456,228,2022-12-16 14:33:14,2,5797,0,0
457,515,2022-12-16 14:33:22,1,-31984,4839,0
458,850,2022-12-16 14:33:56,2,60157,0,0
459,142,2022-12-16 14:34:16,3,0,0,1
460,137,2022-12-16 14:34:19,1,-74468,49122,0
461,98,2022-12-16 14:34:44,2,58375,0,0
462,981,2022-12-16 14:35:02,3,0,0,1
463,269,2022-12-16 14:35:27,1,-75247,80926,0
464,166,2022-12-16 14:36:14,1,-53102,78433,0
465,47,2022-12-16 14:36:24,2,86260,0,0
466,678,2022-12-16 14:36:57,1,-31731,48658,0
467,561,2022-12-16 14:37:19,3,0,0,2
468,536,2022-12-16 14:37:55,3,0,0,1
469,30,2022-12-16 14:38:42,1,-6436,61822,0
470,769,2022-12-16 14:39:29,1,-76351,69069,0
471,674,2022-12-16 14:39:39,1,-61708,32233,0
472,771,2022-12-16 14:40:22,3,0,0,1
473,651,2022-12-16 14:40:43,2,17343,0,0
474,191,2022-12-16 14:41:23,2,21761,0,0
475,1,2022-12-16 14:41:56,2,33758,0,0
476,205,2022-12-16 14:42:00,3,0,0,1
477,473,2022-12-16 14:42:33,3,0,0,2
478,32,2022-12-16 14:42:44,3,0,0,2
479,434,2022-12-16 14:43:22,1,-70086,56665,0
480,308,2022-12-16 14:43:40,3,0,0,2
481,811,2022-12-16 14:44:08,1,-60603,53814,0
482,745,2022-12-16 14:44:19,2,50792,0,0
483,595,2022-12-16 14:44:23,3,0,0,1
484,297,2022-12-16 14:44:53,1,-30078,74232,0
485,72,2022-12-16 14:45:08,3,0,0,1
486,944,2022-12-16 14:45:43,2,84176,0,0
487,712,2022-12-16 14:46:27,1,-80813,94681,0
488,896,2022-12-16 14:46:41,1,-13400,37956,0
489,921,2022-12-16 14:46:44,1,-71972,12036,0
490,89,2022-12-16 14:47:06,2,18677,0,0
491,784,2022-12-16 14:47:37,2,75089,0,0
492,917,2022-12-16 14:47:44,3,0,0,1
493,284,2022-12-16 14:48:18,3,0,0,2
494,935,2022-12-16 14:48:58,2,50007,0,0
495,980,2022-12-16 14:49:21,2,12513,0,0
496,567,2022-12-16 14:50:07,2,21318,0,0
497,129,2022-12-16 14:50:22,2,56057,0,0
498,293,2022-12-16 14:51:11,2,61077,0,0
499,875,2022-12-16 14:51:13,1,-99178,89882,0
500,600,2022-12-16 14:51:34,1,-96404,51863,0
501,673,2022-12-16 14:51:42,1,-58007,67768,0
502,622,2022-12-16 14:51:51,2,24796,0,0
503,471,2022-12-16 14:52:28,1,-48858,32978,0
504,256,2022-12-16 14:53:15,3,0,0,2
505,26,2022-12-16 14:54:04,2,49852,0,0
506,965,2022-12-16 14:54:11,2,64787,0,0
507,191,2022-12-16 14:54:52,3,0,0,1
508,991,2022-12-16 14:55:00,2,90171,0,0
509,398,2022-12-16 14:55:01,2,1917,0,0
510,46,2022-12-16 14:55:19,3,0,0,2
511,637,2022-12-16 14:55:36,3,0,0,1
512,877,2022-12-16 14:56:07,1,-54159,88519,0
513,269,2022-12-16 14:56:38,2,75930,0,0
514,241,2022-12-16 14:56:39,1,-5409,31048,0
515,657,2022-12-16 14:57:20,1,-86930,42158,0
516,409,2022-12-16 14:57:33,3,0,0,1
517,305,2022-12-16 14:58:00,2,44914,0,0
518,935,2022-12-16 14:58:06,3,0,0,2
519,458,2022-12-16 14:58:38,1,-5850,84822,0
520,336,2022-12-16 14:58:58,3,0,0,2
521,418,2022-12-16 14:59:25,2,81282,0,0
522,923,2022-12-16 14:59:27,1,-43856,67293,0
523,149,2022-12-16 14:59:59,3,0,0,2
524,288,2022-12-16 15:00:28,3,0,0,2
525,611,2022-12-16 15:00:49,3,0,0,2
526,63,2022-12-16 15:00:52,1,-73418,73319,0
527,951,2022-12-16 15:01:35,1,-39382,76850,0
528,191,2022-12-16 15:01:39,1,-76161,48864,0
